##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_001500615.1	PRJNA485481	na	na	na	1636250	2955535	Proteus phage vB_PmiM_Pm5461	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307754	CEB-UM - Centre for Biological Engineering, University of Minho	GCA_001500615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/615/GCF_001500615.1_ViralProj307754	na	ICTV species exemplar	na	haploid	viral	161989	161989	31.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	264	256	8	na
GCF_001502655.1	PRJNA485481	na	na	na	1636255	2845736	Paenibacillus phage Fern	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307753	School of Life Sciences, University of Nevada Las Vegas	GCA_001502655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/655/GCF_001502655.1_ViralProj307753	na	ICTV species exemplar	na	haploid	viral	37995	37995	42.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	68	68	0	26472825
GCF_003369225.1	PRJNA485481	na	na	na	1636256	2845737	Paenibacillus phage Halcyone	na	na	latest	Complete Genome	Major	Full	2021-05-27	ASM336922v1	School of Life Sciences, University of Nevada Las Vegas	GCA_003369225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/225/GCF_003369225.1_ASM336922v1	na	ICTV species exemplar	na	haploid	viral	55560	55560	48.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-12-06	90	90	0	na
GCF_001501775.1	PRJNA485481	na	na	na	1636257	1982221	Paenibacillus phage Harrison	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307065	School of Life Sciences, University of Nevada Las Vegas	GCA_001501775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/501/775/GCF_001501775.1_ViralProj307065	na	ICTV species exemplar	na	haploid	viral	44249	44249	40.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	84	84	0	26472825
GCF_003369185.1	PRJNA485481	na	na	na	1636259	2845746	Paenibacillus phage Scottie	na	na	latest	Complete Genome	Major	Full	2021-05-27	ASM336918v1	School of Life Sciences, University of Nevada Las Vegas	GCA_003369185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/369/185/GCF_003369185.1_ASM336918v1	na	ICTV species exemplar	na	haploid	viral	55990	55990	48.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-12-06	91	91	0	na
GCF_001502035.1	PRJNA485481	na	na	na	1636261	2034999	Paenibacillus phage Vegas	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307752	School of Life Sciences, University of Nevada Las Vegas	GCA_001502035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/035/GCF_001502035.1_ViralProj307752	na	ICTV species exemplar	na	haploid	viral	45653	45653	43.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	86	86	0	26472825
GCF_002605625.1	PRJNA485481	na	na	na	1636262	2845736	Paenibacillus phage Willow	na	na	latest	Complete Genome	Major	Full	2019-05-02	ASM260562v1	School of Life Sciences, University of Nevada Las Vegas	GCA_002605625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/605/625/GCF_002605625.1_ASM260562v1	na	na	na	haploid	viral	37994	37994	42.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	68	68	0	26472825
GCF_001501255.1	PRJNA485481	na	na	na	1636263	1921560	Paenibacillus phage Xenia	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307751	School of Life Sciences, University of Nevada Las Vegas	GCA_001501255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/501/255/GCF_001501255.1_ViralProj307751	na	na	na	haploid	viral	41149	41149	41.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	77	77	0	26472825
GCF_001551705.1	PRJNA485481	na	na	na	1636270	1636270	Rhodoferax phage P26218	na	na	latest	Complete Genome	Major	Full	2016-02-05	ViralProj310932	Department of Biological Sciences, Inha University	GCA_001551705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/551/705/GCF_001551705.1_ViralProj310932	na	na	na	haploid	viral	36315	36315	56.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-02-05	44	44	0	26605005
GCF_001534595.1	PRJNA485481	na	na	na	1636271	1636271	Verrucomicrobia phage P8625	na	na	latest	Complete Genome	Major	Full	2016-01-23	ViralProj308884	Department of Biological Sciences, Inha University	GCA_001534595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/534/595/GCF_001534595.1_ViralProj308884	na	na	na	haploid	viral	32894	32894	51.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-01-23	52	52	0	na
GCF_001550525.1	PRJNA485481	na	na	na	1636313	2732700	Enterobacter phage E-2	na	na	latest	Complete Genome	Major	Full	2016-02-05	ViralProj310902	Institute of Food, Nutrition and Health, ETH Zurich	GCA_001550525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/550/525/GCF_001550525.1_ViralProj310902	na	ICTV species exemplar	na	haploid	viral	36051	36051	50.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	41	41	0	na
GCF_001501615.1	PRJNA485481	na	na	na	1636314	2732701	Enterobacter phage E-3	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307823	Institute of Food, Nutrition and Health, ETH Zurich	GCA_001501615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/501/615/GCF_001501615.1_ViralProj307823	na	ICTV species exemplar	na	haploid	viral	31522	31522	51.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	36	36	0	na
GCF_001500595.1	PRJNA485481	na	na	na	1636545	1982570	Tsukamurella phage TIN2	na	na	latest	Complete Genome	Major	Full	2016-01-05	Tsukamurella phage TIN2	La Trobe Institute of Molecular Sciences, La Trobe University	GCA_001500595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/595/GCF_001500595.1_Tsukamurella_phage_TIN2	na	ICTV species exemplar	na	haploid	viral	76964	76964	59.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-01-05	108	107	1	26187971
GCF_001502635.1	PRJNA485481	na	na	na	1636546	1982571	Tsukamurella phage TIN3	na	na	latest	Complete Genome	Major	Full	2016-01-05	Tsukamurella phage TIN3	La Trobe Institute of Molecular Sciences, La Trobe University	GCA_001502635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/635/GCF_001502635.1_Tsukamurella_phage_TIN3	na	ICTV species exemplar	na	haploid	viral	76269	76269	59.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-01-05	110	109	1	26187971
GCF_002623325.1	PRJNA485481	na	na	na	1636547	1982571	Tsukamurella phage TIN4	na	na	latest	Complete Genome	Major	Full	2019-05-02	Tsukamurella phage TIN4	La Trobe Institute of Molecular Sciences, La Trobe University	GCA_002623325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/623/325/GCF_002623325.1_Tsukamurella_phage_TIN4	na	na	na	haploid	viral	76268	76268	59.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-05-02	110	109	1	26187971
GCF_002593445.1	PRJNA485481	na	na	na	1636556	2845442	Lactococcus phage 936 group phage Phi109	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259344v1	Microbiology, University College Cork	GCA_002593445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/445/GCF_002593445.1_ASM259344v1	na	ICTV species exemplar	na	haploid	viral	31033	31033	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	54	54	0	26892066
GCF_002593625.1	PRJNA485481	na	na	na	1636560	2845443	Lactococcus phage 936 group phage Phi155	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259362v1	Microbiology, University College Cork	GCA_002593625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/625/GCF_002593625.1_ASM259362v1	na	ICTV species exemplar	na	haploid	viral	32150	32150	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	55	55	0	26892066
GCF_002593165.1	PRJNA485481	na	na	na	1636564	2845444	Lactococcus phage 936 group phage Phi19.3	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259316v1	Microbiology, University College Cork	GCA_002593165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/165/GCF_002593165.1_ASM259316v1	na	ICTV species exemplar	na	haploid	viral	28811	28811	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	52	52	0	26892066
GCF_002593485.1	PRJNA485481	na	na	na	1636566	2845445	Lactococcus phage 936 group phage Phi4.2	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259348v1	Microbiology, University College Cork	GCA_002593485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/485/GCF_002593485.1_ASM259348v1	na	ICTV species exemplar	na	haploid	viral	31375	31375	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	59	59	0	26892066
GCF_002593505.1	PRJNA485481	na	na	na	1636569	2845446	Lactococcus phage 936 group phage Phi44	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259350v1	Microbiology, University College Cork	GCA_002593505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/505/GCF_002593505.1_ASM259350v1	na	ICTV species exemplar	na	haploid	viral	31379	31379	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	52	52	0	26892066
GCF_002593225.1	PRJNA485481	na	na	na	1636570	2845447	Lactococcus phage 936 group phage Phi5.12	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259322v1	Microbiology, University College Cork	GCA_002593225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/225/GCF_002593225.1_ASM259322v1	na	ICTV species exemplar	na	haploid	viral	29026	29026	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	53	53	0	26892066
GCF_002593525.1	PRJNA485481	na	na	na	1636571	2845448	Lactococcus phage 936 group phage Phi91127	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259352v1	Microbiology, University College Cork	GCA_002593525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/525/GCF_002593525.1_ASM259352v1	na	ICTV species exemplar	na	haploid	viral	31495	31495	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	58	58	0	26892066
GCF_002593145.1	PRJNA485481	na	na	na	1636573	2845450	Lactococcus phage 936 group phage PhiB1127	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259314v1	Microbiology, University College Cork	GCA_002593145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/145/GCF_002593145.1_ASM259314v1	na	ICTV species exemplar	na	haploid	viral	28785	28785	35.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	53	53	0	26892066
GCF_002593645.1	PRJNA485481	na	na	na	1636576	2845451	Lactococcus phage 936 group phage PhiE1127	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259364v1	Microbiology, University College Cork	GCA_002593645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/645/GCF_002593645.1_ASM259364v1	na	ICTV species exemplar	na	haploid	viral	32270	32270	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	60	60	0	26892066
GCF_002593405.1	PRJNA485481	na	na	na	1636578	2845452	Lactococcus phage 936 group phage PhiF0139	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259340v1	Microbiology, University College Cork	GCA_002593405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/405/GCF_002593405.1_ASM259340v1	na	ICTV species exemplar	na	haploid	viral	30811	30811	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	57	57	0	26892066
GCF_002593605.1	PRJNA485481	na	na	na	1636580	2845453	Lactococcus phage 936 group phage PhiJF1	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259360v1	Microbiology, University College Cork	GCA_002593605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/605/GCF_002593605.1_ASM259360v1	na	ICTV species exemplar	na	haploid	viral	31901	31901	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	58	58	0	26892066
GCF_002593425.1	PRJNA485481	na	na	na	1636581	2845454	Lactococcus phage 936 group phage PhiL.18	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259342v1	Microbiology, University College Cork	GCA_002593425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/425/GCF_002593425.1_ASM259342v1	na	ICTV species exemplar	na	haploid	viral	30882	30882	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	55	55	0	26892066
GCF_002593465.1	PRJNA485481	na	na	na	1636582	2845455	Lactococcus phage 936 group phage PhiL.6	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259346v1	Microbiology, University College Cork	GCA_002593465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/465/GCF_002593465.1_ASM259346v1	na	ICTV species exemplar	na	haploid	viral	31181	31181	34.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	59	59	0	26892066
GCF_002593685.1	PRJNA485481	na	na	na	1636583	2845456	Lactococcus phage 936 group phage PhiLj	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259368v1	Microbiology, University College Cork	GCA_002593685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/685/GCF_002593685.1_ASM259368v1	na	ICTV species exemplar	na	haploid	viral	28983	28983	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	49	49	0	26892066
GCF_002593665.1	PRJNA485481	na	na	na	1636586	2845457	Lactococcus phage 936 group phage PhiM1127	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259366v1	Microbiology, University College Cork	GCA_002593665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/665/GCF_002593665.1_ASM259366v1	na	ICTV species exemplar	na	haploid	viral	32682	32682	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	59	59	0	26892066
GCF_002593705.1	PRJNA485481	na	na	na	1636587	2845458	Lactococcus phage 936 group phage PhiS0139	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259370v1	Microbiology, University College Cork	GCA_002593705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/705/GCF_002593705.1_ASM259370v1	na	ICTV species exemplar	na	haploid	viral	30116	30116	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	53	53	0	26892066
GCF_002593105.1	PRJNA485481	na	na	na	1636724	2845449	Lactococcus phage 936 group phage PhiA.16	na	na	latest	Complete Genome	Major	Full	2020-07-03	ASM259310v1	Microbiology, University College Cork	GCA_002593105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/593/105/GCF_002593105.1_ASM259310v1	na	ICTV species exemplar	na	haploid	viral	28349	28349	35.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	49	49	0	26892066
GCF_003033825.1	PRJNA485481	na	na	na	1637492	1637492	Tomato necrotic streak virus	na	13-382	latest	Complete Genome	Major	Full	2018-08-24	ASM303382v1	Subtropical Plant Pathology, Agricultural Research Service, United States Department of Agriculture	GCA_003033825.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/033/825/GCF_003033825.1_ASM303382v1	na	ICTV species exemplar	na	haploid	viral	8621	8621	44.000000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	5	5	0	na
GCF_000973395.3	PRJNA485481	na	na	na	1637496	1637496	Rotavirus I	strain=KE135/2012	na	latest	Complete Genome	Major	Full	2016-02-12	ViralMultiSegProj281402	Institute for Veterinary Medical Research, Centre for Agricultural Research, Hungarian Academy of Sciences	GCA_000973395.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/395/GCF_000973395.3_ViralMultiSegProj281402	na	ICTV species exemplar	na	haploid	viral	17989	17989	35.500000	11	11	11	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2017-10-04	12	12	0	25811414
GCF_002816815.1	PRJNA485481	na	na	na	1637527	2040663	Dromedary camel enterovirus 19CC	strain=19CC	na	latest	Complete Genome	Major	Full	2018-08-24	ASM281681v1	Department of Microbiology, The University of Hong Kong	GCA_002816815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/816/815/GCF_002816815.1_ASM281681v1	na	ICTV species exemplar	na	haploid	viral	7441	7441	45.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-24	1	1	0	25805410
GCF_001744375.1	PRJNA485481	na	na	na	1639814	3060165	Pseudomonas phage vB_PaeP_MAG4	na	na	latest	Complete Genome	Major	Full	2016-09-23	ViralProj344114	Department of Microbial Biochemistry, Institute of Biochemistry and Biophysics of the Polish Academy of Sciences	GCA_001744375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/744/375/GCF_001744375.1_ViralProj344114	na	ICTV species exemplar	na	haploid	viral	72979	72979	55.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-09-23	94	94	0	na
GCF_001743695.1	PRJNA485481	na	na	na	1639815	2560668	Pseudomonas phage vB_PaeM_MAG1	na	na	latest	Complete Genome	Major	Full	2016-09-23	ViralProj344113	Department of Microbial Biochemistry, Institute of Biochemistry and Biophysics of the Polish Academy of Sciences	GCA_001743695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/743/695/GCF_001743695.1_ViralProj344113	na	ICTV species exemplar	na	haploid	viral	94555	94555	49.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	188	174	14	na
GCF_002375125.2	PRJNA485481	na	na	na	1640277	1640277	Grapevine Cabernet Sauvignon reovirus	na	CS-BR	latest	Complete Genome	Major	Full	2015-08-24	ASM237512v2	Laboratorio de Virologia, Embrapa Uva e Vinho - Embrapa - Brazil	GCA_002375125.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/375/125/GCF_002375125.2_ASM237512v2	na	na	na	haploid	viral	24596	24596	42.000000	10	10	10	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2017-09-28	10	10	0	na
GCF_002621025.1	PRJNA485481	na	na	na	1640445	2560804	Thermus phage OH3	na	na	latest	Complete Genome	Major	Full	2019-12-16	ASM262102v1	Contact:Katsumi Doi Kyushu University, Institute of Genetic Resources; 6-10-1 Hakozaki, Higashi-ku, Fukuoka, Fukuoka 812-8581, Japan	GCA_002621025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/621/025/GCF_002621025.1_ASM262102v1	na	ICTV species exemplar	na	haploid	viral	5688	5688	58.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-12-16	8	8	0	26941711
GCF_001502015.1	PRJNA485481	na	na	na	1640885	2560423	Enterococcus phage EFLK1	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307748	Faculty of Dental Sciences and School of Dental Medicine, Hebrew University	GCA_001502015.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/015/GCF_001502015.1_ViralProj307748	na	ICTV species exemplar	na	haploid	viral	130952	130952	36.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2019-05-09	198	198	0	26586876
GCF_001500955.1	PRJNA485481	na	na	na	1640969	1640969	Pseudomonas phage DL54	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307822	Department of Chemistry, University of Bath	GCA_001500955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/955/GCF_001500955.1_ViralProj307822	na	na	na	haploid	viral	45673	45673	52.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	71	71	0	26347362
GCF_001500995.1	PRJNA485481	na	na	na	1640970	2006169	Pseudomonas phage DL60	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307055	Department of Chemistry, University of Bath	GCA_001500995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/500/995/GCF_001500995.1_ViralProj307055	na	ICTV species exemplar	na	haploid	viral	66103	66103	55.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	89	89	0	26347362
GCF_001502995.1	PRJNA485481	na	na	na	1640972	2733352	Pseudomonas phage DL62	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307821	Department of Chemistry, University of Bath	GCA_001502995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/995/GCF_001502995.1_ViralProj307821	na	ICTV species exemplar	na	haploid	viral	42508	42508	62.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	55	55	0	26347362
GCF_001502375.1	PRJNA485481	na	na	na	1640973	1920763	Pseudomonas phage DL64	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307820	Department of Chemistry, University of Bath	GCA_001502375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/502/375/GCF_001502375.1_ViralProj307820	na	na	na	haploid	viral	72378	72378	55.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-01-05	90	90	0	26347362
GCF_001501595.1	PRJNA485481	na	na	na	1640974	2006170	Pseudomonas phage DL68	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307819	Department of Chemistry, University of Bath	GCA_001501595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/501/595/GCF_001501595.1_ViralProj307819	na	ICTV species exemplar	na	haploid	viral	66111	66111	55.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-10-12	92	92	0	26347362
GCF_001271155.1	PRJNA485481	na	na	na	1641642	1986023	Skunk adenovirus PB1	na	SkAdV-PB1	latest	Complete Genome	Major	Full	2015-08-18	ViralProj293053	Pathobiology, University of Guelph, Ontario Veterinary College	GCA_001271155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/271/155/GCF_001271155.1_ViralProj293053	na	ICTV species exemplar	na	haploid	viral	31848	31848	49.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2020-12-21	30	30	0	26189043
GCF_000981755.1	PRJNA485481	na	na	na	1641896	2003391	Falcovirus A1	strain=kestrel/VOVE0622/2013/HUN	na	latest	Complete Genome	Major	Full	2015-04-27	ViralProj282169	Regional Laboratory of Virology, ANTSZ, Baranya County Institute of State Public Health Service	GCA_000981755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/755/GCF_000981755.1_ViralProj282169	na	ICTV species exemplar	na	haploid	viral	8003	8003	42.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	1	1	0	25864424
GCF_000989115.1	PRJNA485481	na	na	na	1642018	3051977	Cherax quadricarinatus densovirus	na	1	latest	Complete Genome	Major	Full	2015-05-05	ViralProj283067	Microbiology and Immunology, James Cook University	GCA_000989115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/989/115/GCF_000989115.1_ViralProj283067	na	ICTV species exemplar	na	haploid	viral	6334	6334	39.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015-05-05	4	4	0	na
GCF_000989035.1	PRJNA485481	na	na	na	1642515	3048458	Zebra finch circovirus	na	8454V25-1	latest	Complete Genome	Major	Full	2015-05-05	ViralProj283066	Center for Clinical Veterinary Medicine, LMU Munich, Clinic for Birds, Reptiles, Amphibians and Ornamental Fish	GCA_000989035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/989/035/GCF_000989035.1_ViralProj283066	na	ICTV species exemplar	na	haploid	viral	1982	1982	56.000000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2015-05-05	4	4	0	26021933
GCF_002606745.1	PRJNA485481	SAMN03451613	na	na	1642588	1642588	Stenotrophomonas phage vB_SmaS-DLP_1	na	na	latest	Complete Genome	Major	Full	2023-01-24	ASM260674v1	Biological Science, University of Alberta	GCA_002606745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/606/745/GCF_002606745.1_ASM260674v1	na	ICTV species exemplar	na	haploid	viral	42887	42887	53.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2023-01-24	57	57	0	26335566
GCF_001501575.1	PRJNA485481	SAMN03451614	na	na	1642663	1921546	Stenotrophomonas phage vB_SmaS-DLP_2	na	na	latest	Complete Genome	Major	Full	2016-01-05	ViralProj307815	Biological Science, University of Alberta	GCA_001501575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/501/575/GCF_001501575.1_ViralProj307815	na	ICTV species exemplar	na	haploid	viral	42593	42593	53.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-01-05	58	58	0	26335566
GCF_004789935.1	PRJNA485481	na	na	na	1642852	2560292	Anadyr virus	strain=LEIV-13395Mg	na	latest	Complete Genome	Major	Full	2021-06-01	ASM478993v1	Lab. of Biotechnology, The D.I. Ivanovsky Institute of Virology	GCA_004789935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/789/935/GCF_004789935.1_ASM478993v1	na	ICTV species exemplar	na	haploid	viral	12227	12227	35.500000	3	3	3	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2021-06-01	4	4	0	na
GCF_000982285.1	PRJNA485481	na	na	na	1642929	3048172	Lambdina fiscellaria nucleopolyhedrovirus	na	GR15	latest	Complete Genome	Major	Full	2015-04-28	ViralProj282403	Microbiology, Oregon State University	GCA_000982285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/982/285/GCF_000982285.1_ViralProj282403	na	ICTV species exemplar	na	haploid	viral	157977	157977	43.500000	1	1	1	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2018-08-13	137	137	0	26021909
